doi,title,domain_type,process_outcome_domains_raw
10.1016/j.wdp.2021.100390,Assessing nuanced social networks and its implication for climate change adaptation in northwestern Ghana,process_only,knowledge_awareness_learning; participation_coproduction
10.1016/j.wace.2022.100413,Dietary and agricultural adaptations to drought among smallholder farmers in South Africa: A qualitative study,process_only,knowledge_awareness_learning; decision_making_planning; behavioral_change
10.1007/s11111-021-00393-7,Is migration an effective adaptation to climate-related agricultural distress in sub-Saharan Africa?,both,decision_making_planning; behavioral_change; wellbeing
10.1016/j.eap.2021.12.018,"The impact of an adjusted cropping calendar on the welfare of rice farming households in the Mekong River Delta, Vietnam",both,decision_making_planning; wellbeing
10.1016/j.fcr.2021.108418,"Designing low-input upland rice-based cropping systems with conservation agriculture for climate change adaptation: A six-year experiment in M'bé, Bouaké, Côte d'Ivoire",both,decision_making_planning; uptake_adoption; yields_productivity
10.1007/s10460-021-10249-3,"Community seed network in an era of climate change: dynamics of maize diversity in Yucatán, Mexico",both,knowledge_awareness_learning; decision_making_planning; uptake_adoption; behavioral_change; institutional_governance; access_information_services; yields_productivity; risk_reduction
10.1016/j.landusepol.2021.105958,Determinants of crop choice decisions under risk: A case study on the revival of cocoa farming in the Forest-Savannah transition zone of Ghana,process_only,decision_making_planning; knowledge_awareness_learning
10.1007/s13280-021-01583-1,A photovoice assessment for illuminating the role of inland fisheries to livelihoods and the local challenges experienced through the lens of fishers in a climate-driven lake of Malawi,both,knowledge_awareness_learning; decision_making_planning; participation_coproduction; access_information_services; livelihoods; wellbeing
10.3389/fpubh.2022.785254,The Challenges of Working in the Heat Whilst Pregnant: Insights From Gambian Women Farmers in the Face of Climate Change,both,knowledge_awareness_learning; decision_making_planning; behavioral_change; wellbeing
10.1016/j.scitotenv.2021.151671,Prior crop season management constrains farmer adaptation to warming temperatures: Evidence from the Indo-Gangetic Plains,process_only,decision_making_planning; uptake_adoption
10.1007/s10584-022-03311-4,Perception and adaptation strategies of dairy farmers towards climate variability and change in West Africa,process_only,knowledge_awareness_learning; decision_making_planning; uptake_adoption; behavioral_change; institutional_governance
10.1016/j.heliyon.2022.e08908,"Intra-household gender disparity: effects on climate change adaptation in Arsi Negele district, Ethiopia",process_only,decision_making_planning; participation_coproduction
10.1016/j.jaridenv.2021.104656,Pastoral coping and adaptation climate change strategies: Implications for women's well-being,both,decision_making_planning; behavioral_change; wellbeing
10.1007/s13753-021-00390-2,Attentiveness to Early Warning Drought Information: Implications for Policy Support and Climate Risk Reduction in Ghana,process_only,knowledge_awareness_learning; decision_making_planning; uptake_adoption
10.1007/s10668-021-01545-3,Smallholder farmer resilience to water scarcity,both,knowledge_awareness_learning; decision_making_planning; uptake_adoption; behavioral_change; institutional_governance; access_information_services; yields_productivity; income_assets; livelihoods
10.3389/ffgc.2021.773170,Asset-Based Adaptation Project Promotes Tree and Shrub Diversity and Above-Ground Carbon Stocks in Smallholder Agroforestry Systems in Western Kenya,both,uptake_adoption; yields_productivity; wellbeing
10.3389/fclim.2021.766583,Reducing Climate Risks by Improving Food Production and Value Chains: A Case of Sandy Soils in Semi-arid Kenya,both,knowledge_awareness_learning; decision_making_planning; uptake_adoption; behavioral_change; institutional_governance; access_information_services; yields_productivity; income_assets; livelihoods
10.4314/jae.v27i2.2,Traditional Perceptions of Climate Change Phenomenon Influencing Adaptation Decisions among Women Crop Farmers in Southern Nigeria,process_only,knowledge_awareness_learning; decision_making_planning
10.1080/14735903.2022.2028400,Farmers’ adaptation to climate change and crop yield: a case of Amuru and Apac districts of Northern Uganda,both,uptake_adoption; yields_productivity
10.1155/2022/3590769,Climate Change Adaptation Strategies by Indonesian Vegetable Farmers: Comparative Study of Organic and Conventional Farmers,process_only,knowledge_awareness_learning; decision_making_planning; uptake_adoption; behavioral_change; institutional_governance; access_information_services
10.31018/jans.v14i3.3493,Barriers and adaptation strategies to climate change among farming households in Guinea Savanna,both,knowledge_awareness_learning; decision_making_planning; uptake_adoption; risk_reduction
10.1007/978-3-030-87934-1_22,"Exploring Climate Change Impacts on Smallholder Farmers in Mhondoro-Ngezi District, Zimbabwe",process_only,knowledge_awareness_learning; decision_making_planning; uptake_adoption
10.1080/23311886.2022.2140510,Cameroon’s adaptation to climate change and sorghum productivity,both,knowledge_awareness_learning; decision_making_planning; uptake_adoption; yields_productivity
10.13057/tropdrylands/t060203,"Household vulnerability and adaptive capacity on impacts of climate change and adaptability solution in Soroti District, Uganda",both,knowledge_awareness_learning; decision_making_planning; uptake_adoption; behavioral_change; participation_coproduction; institutional_governance; access_information_services; yields_productivity; income_assets; livelihoods; wellbeing
10.18488/5005.v12i1.4391,IDENTIFICATION OF ADAPTIVE CAPACITY ASSESSMENTS TO IMPROVE COLLECTIVE ADAPTATION OF FARMERS TO CLIMATE CHANGE,process_only,decision_making_planning; institutional_governance; access_information_services
10.1080/14735903.2022.2082765,Explaining shifts in adaptive water management using a gendered multi-level perspective (MLP): a case study from the Nile Delta of Egypt,process_only,knowledge_awareness_learning; decision_making_planning; institutional_governance; access_information_services
10.14456/sjst-psu.2022.19,Impact of climate change on farmer adaptation and tobacco productivity in Temanggung regency,both,decision_making_planning; uptake_adoption; risk_reduction
10.1016/j.crm.2022.100467,Gender differences on the choices of a portfolio of climate change adaptation strategies in Ethiopia,process_only,decision_making_planning; behavioral_change
10.1016/j.ssaho.2022.100319,Smallholders' coping strategies in response to climate variability in semi-arid agro-ecozones of Upper Eastern Kenya,neither,not_found
10.1016/j.crsust.2022.100196,"Climate change manifestations and adaptations in cocoa farms: Perspectives of smallholder farmers in the Adansi South District, Ghana",neither,not_found
10.1080/17565529.2021.1904812,Climate resilience programmes and technical efficiency: evidence from the smallholder dairy farmers in the Brazilian semi-arid region,outcome_only,technical_efficiency; yields_productivity
10.1080/23311886.2022.2126452,Farm-based climate adaptation dynamics: insights from the vegetable sector in the Western Highlands of Cameroon,both,knowledge_awareness_learning; decision_making_planning; uptake_adoption; yields_productivity
10.1079/9781789245745.0021,Conservation Agriculture Innovation Systems Build Climate Resilience for Smallholder Farmers in South Africa,both,knowledge_awareness_learning; decision_making_planning; uptake_adoption; participation_coproduction; institutional_governance; access_information_services; yields_productivity; income_assets; livelihoods
10.1016/j.ijdrr.2021.102695,SWOT-FAHP-TOWS analysis for adaptation strategies development among small-scale farmers in drought conditions,process_only,decision_making_planning; institutional_governance
10.13057/asianjfor/r060105,"Impact of climate variability, farmers adaptation and coping strategies on coffee production in highlands of Kigoma District, Tanzania",process_only,knowledge_awareness_learning; decision_making_planning; uptake_adoption; behavioral_change; participation_coproduction; institutional_governance; access_information_services
10.5751/es-12837-270117,Perception matters: an Indigenous perspective on climate change and its effects on forest-based livelihoods in the Amazon,both,knowledge_awareness_learning; decision_making_planning; behavioral_change; participation_coproduction; institutional_governance; access_information_services; risk_reduction
10.1016/b978-0-323-88456-3.00016-2,Farmers’ perceptions of climate hazards and coping mechanisms in Fiji,process_only,knowledge_awareness_learning; decision_making_planning; behavioral_change; participation_coproduction; institutional_governance; access_information_services
10.1080/00220388.2021.1983168,"Weather Shocks, Coping Strategies and Household Well-being: Evidence from Rural Mauritania",both,decision_making_planning; uptake_adoption; wellbeing; risk_reduction
10.1016/j.crm.2022.100455,Income and yield effects of climate-smart agriculture (CSA) adoption in flood prone areas of Bangladesh: Farm level evidence,outcome_only,yields_productivity; income_assets
10.1515/opag-2022-0099,Agrobiodiversity and perceived climatic change effect on family farming systems in semiarid tropics of Kenya,both,knowledge_awareness_learning; decision_making_planning; uptake_adoption; behavioral_change; institutional_governance; access_information_services; yields_productivity; income_assets
10.1016/j.agsy.2021.103309,"Co-production, uptake of weather and climate services, and welfare impacts on farmers in Senegal: A panel data approach",both,decision_making_planning; yields_productivity; income_assets
10.15244/pjoes/135699,Determinants of farmers’ risk perceptions of hailstorms in northern Bangladesh: Is adaptive capacity the major concern?,process_only,knowledge_awareness_learning; decision_making_planning; behavioral_change
10.1515/opag-2022-0144,"Sustainability of Arabica coffee business in West Java, Indonesia: A multidimensional scaling approach",process_only,knowledge_awareness_learning; decision_making_planning; institutional_governance; access_information_services
10.1016/bs.aecr.2022.04.001,Transdisciplinary agroecological research on biodiversity and ecosystem services for sustainable and climate resilient farming systems in Malawi,process_only,knowledge_awareness_learning; decision_making_planning; uptake_adoption; behavioral_change; participation_coproduction; institutional_governance
10.1080/1747423x.2022.2097455,Can sustainability certification enhance the climate resilience of smallholder farmers? The case of Ghanaian cocoa,both,knowledge_awareness_learning; decision_making_planning; uptake_adoption; behavioral_change; institutional_governance; access_information_services; yields_productivity; income_assets
10.1016/j.wsif.2021.102550,The role of women in community resilience to climate change: A case study of an Indigenous Fijian community,process_only,decision_making_planning; participation_coproduction; institutional_governance
10.1080/09718524.2022.2144102,Exploring the effects of a participatory climate services approach on smallholder decision-making in Rwanda using a gender lens,both,decision_making_planning; behavioral_change; participation_coproduction; wellbeing
10.1080/23311886.2022.2086343,Effect of climate-smart agriculture on household food security in small-scale production systems: A micro-level analysis from South Africa,both,decision_making_planning; yields_productivity; income_assets; livelihoods; wellbeing
10.29133/yyutbd.1084525,Understanding Farmer Perception and Impact of Seasonal Climate Event on Rice Farming in Indonesia: Implication for Adaptation Policy in Local Level,process_only,knowledge_awareness_learning; decision_making_planning; uptake_adoption; behavioral_change
10.1007/978-3-030-87934-1_24,Climate Change and Food Insecurity: Risks and Responses in Bulilima District of Zimbabwe,process_only,decision_making_planning; uptake_adoption; behavioral_change
10.4102/jamba.v14i1.1202,"Effects of climate change on pastoral households in the Harshin District of the Somali Region, Ethiopia",both,knowledge_awareness_learning; decision_making_planning; uptake_adoption; risk_reduction
10.53936/afjare.2022.17(1).3,Opportunity cost of adopting improved planted forage: Evidence from the adoption of Brachiaria grass among smallholder dairy farmers in Kenya,process_only,decision_making_planning; uptake_adoption; access_information_services
10.1016/j.cliser.2021.100280,Effects of customized climate services on land and labor productivity in Burkina Faso and Ghana,both,decision_making_planning; yields_productivity
10.53936/afjare.2022.17(3).15,Impact of climate-smart maize varieties on household income among smallholder farmers in Kenya: The case of Embu County,both,income_assets; uptake_adoption
10.1016/j.heliyon.2021.e08677,"Adoption of climate-smart agricultural practices among smallholder farmers in Western Kenya: do socioeconomic, institutional, and biophysical factors matter?",process_only,knowledge_awareness_learning; decision_making_planning; uptake_adoption; behavioral_change; institutional_governance
10.4314/jae.v26i2.5,"Perceived Capacities of Public Extension Personnel for Climate Information Dissemination to Farmers in Cross River State, Nigeria",process_only,knowledge_awareness_learning; decision_making_planning; access_information_services
10.1007/s10333-021-00870-7,Climate risk and agricultural technology adaption: evidence from rice farmers in the Ayeyarwady River delta of Myanmar,both,decision_making_planning; uptake_adoption; yields_productivity; income_assets
10.30852/sb.2022.1757,"Rainwater harvesting for enhancing upland agriculture: Lessons and experiences in selected upland farming communities in Albay Province, Philippines",process_only,knowledge_awareness_learning; decision_making_planning; uptake_adoption; behavioral_change; participation_coproduction; institutional_governance; access_information_services
10.1007/978-3-030-99411-2_8,Making Climate Services Actionable for Farmers in Ghana: The Value of Co-Production and Knowledge Integration,process_only,decision_making_planning; participation_coproduction; access_information_services
10.1590/2178-2547-bgoeldi-2021-0015,"Popular meteorology and its use in productive activities in the Mocambo quilombola community in Ourém, Pará, Brazil",process_only,knowledge_awareness_learning; decision_making_planning; behavioral_change
10.1016/j.crm.2022.100417,Integration of seasonal precipitation forecast information into local-level agricultural decision-making using an agent-based model to support community adaptation,process_only,decision_making_planning; access_information_services
10.32945/atr4418.2022,"Surfacing development needs of a marginal upland community through participatory tools: The case of a village in Samar, Philippines",process_only,knowledge_awareness_learning; decision_making_planning; participation_coproduction
10.1007/978-3-031-01980-7_9,"Gendered Values, Roles, and Challenges for Sustainable Provision of Forest-Based Ecosystem Services in Nepal",process_only,knowledge_awareness_learning; decision_making_planning; participation_coproduction; institutional_governance; access_information_services
10.14456/sjst-psu.2022.11,"Assessing processes of change and innovation in smallholders agriculture around Tonle Sap Lake, Cambodia",process_only,decision_making_planning; uptake_adoption
10.1017/s1742170520000058,"Facilitating livelihoods diversification through flood-based land restoration in pastoral systems of Afar, Ethiopia",both,decision_making_planning; institutional_governance; access_information_services; yields_productivity; risk_reduction
10.35208/ert.1593474,Indigenous knowledge and climate change adaptation in Ghana: Empirical evidence from the Tolon District,process_only,knowledge_awareness_learning; decision_making_planning; uptake_adoption; behavioral_change; participation_coproduction; institutional_governance
10.1051/e3sconf/202568201011,"Climate-smart adaptation strategies of inpari nutri zinc rice farmers in Bantul, Indonesia",process_only,knowledge_awareness_learning; decision_making_planning; uptake_adoption; behavioral_change; institutional_governance; access_information_services
10.1051/e3sconf/202568201004,Adaptive capacity of farming household to drought as an impact of climate change in Central Lombok Regency,both,knowledge_awareness_learning; decision_making_planning; uptake_adoption; behavioral_change; institutional_governance; access_information_services; yields_productivity
10.36953/ecj.32843088,Innovating Climate Policy by harnessing Traditional Ecological Knowledge: Qualitative insights from India,process_only,knowledge_awareness_learning; decision_making_planning; uptake_adoption; participation_coproduction
10.37425/3cgdww57,"Determinants of farmers' responses to climate variability hazards in East Belesa district, Ethiopia",both,knowledge_awareness_learning; decision_making_planning; uptake_adoption; behavioral_change; institutional_governance; access_information_services; yields_productivity; income_assets; livelihoods; wellbeing; risk_reduction
10.17159/2413-3221/2025/v53n6a21690,Examining Key Factors and Supportive Interventions Influencing Smallholder Livestock Farming Performance in Umvoti Local Municipality,both,knowledge_awareness_learning; decision_making_planning; uptake_adoption; behavioral_change; institutional_governance; access_information_services; yields_productivity; income_assets; livelihoods
10.15451/ec2025-12-14-41-1-18,Community-based strategies for climate adaptation in rural Mexico: The case of the Huasteca Potosina,process_only,decision_making_planning; uptake_adoption; institutional_governance; access_information_services
10.1007/s43621-025-01831-4,Assessing farmers’ awareness of climate change impacts and adaptation practices in a semi-arid region in Tanzania,process_only,knowledge_awareness_learning; decision_making_planning; uptake_adoption
10.7454/jessd.v8i2.1372,COMMUNICATION FACTORS INFLUENCING SMALLHOLDER FARMERS' ADOPTION OF CLIMATE CHANGE ADAPTATION MEASURES IN KENYA’S EMBU COUNTY,process_only,knowledge_awareness_learning; decision_making_planning; uptake_adoption
10.1186/s40066-025-00561-0,Assessing the impact of climate change and farmers' adaptation strategies on agricultural crop production at a community level in Southwestern Nigeria,both,knowledge_awareness_learning; decision_making_planning; uptake_adoption; risk_reduction
10.1007/s11027-025-10255-4,"Farmer perception of climate change and adaptation strategies in Bamyan province, Afghanistan",process_only,knowledge_awareness_learning; decision_making_planning; uptake_adoption; behavioral_change; institutional_governance
10.1007/s44274-025-00452-y,"Perceptions and adaptation to climate change among livestock farmers in Tigray, Ethiopia",process_only,knowledge_awareness_learning; decision_making_planning; uptake_adoption; behavioral_change; institutional_governance
10.1038/s41598-025-14952-7,"Urban pearl millet farmers’ perceptions of climate change and adaptation strategies in Niamey commune V, the Sahel",both,knowledge_awareness_learning; decision_making_planning; uptake_adoption; behavioral_change; institutional_governance; access_information_services; yields_productivity; income_assets; livelihoods; wellbeing; risk_reduction
10.1007/s43621-025-01806-5,Assessment of farmers’ local adaptation strategies to climate variability impacts in Hulbarag district Ethiopia,both,knowledge_awareness_learning; decision_making_planning; uptake_adoption; behavioral_change; institutional_governance; access_information_services; yields_productivity; income_assets; livelihoods
10.56578/cis130403,Modelling Adaptation to Climate Change among Small-Scale Fishermen in Bengkulu Province in Indonesia,process_only,decision_making_planning; behavioral_change; access_information_services
10.1186/s40066-025-00571-y,Assessing the impact of climate change adaptation strategies on food security and farm income: insights from Burkina Faso,both,decision_making_planning; uptake_adoption; yields_productivity; income_assets; livelihoods; wellbeing; risk_reduction
10.1007/s43621-025-00963-x,"Climate change adaptation strategies among smallholder livestock farmers in Namibia's Omaheke Region, Namibia",process_only,knowledge_awareness_learning; decision_making_planning; uptake_adoption
10.1016/j.envc.2025.101353,The role of social and human capital on climate change adaptation in agricultural activities in Indonesia,process_only,knowledge_awareness_learning; decision_making_planning; institutional_governance
10.1038/s41598-025-11880-4,"Impacts of climate variability and adaptation strategies on staple crop productivity in Sidama, Ethiopia",both,knowledge_awareness_learning; decision_making_planning; uptake_adoption; yields_productivity
10.1007/s43621-024-00761-x,"Coffee farmers’ perception of climate change trends in Gimbi district, Western Ethiopia",process_only,knowledge_awareness_learning; decision_making_planning; uptake_adoption; behavioral_change; institutional_governance
10.1007/s43621-025-01543-9,"Perceptions of climate variability, adaptation strategies, and their determinants among smallholder farmers in the Gabiley Region, Somaliland",both,knowledge_awareness_learning; decision_making_planning; uptake_adoption; behavioral_change; institutional_governance; access_information_services; yields_productivity; income_assets; livelihoods
10.1038/s41598-025-90056-6,Analysis of farmers’ perceptions on sustainable sweet orange farming in nigeria amid climate change,process_only,knowledge_awareness_learning; decision_making_planning; institutional_governance
10.1007/s43621-025-01150-8,Assessing gender disparities in farmers’ access and use of climate-smart agriculture in Southern Tanzania,both,knowledge_awareness_learning; decision_making_planning; uptake_adoption; behavioral_change; participation_coproduction; institutional_governance; access_information_services; yields_productivity; income_assets; livelihoods; wellbeing
10.1016/j.foohum.2025.100855,"Determinants of climate adaptation strategies and their intensity in arable crop production in Ebonyi State, Nigeria",process_only,knowledge_awareness_learning; decision_making_planning; uptake_adoption
10.1007/s44274-025-00192-z,Indigenous agroecological knowledge and practices for climate change adaptation in the forest-savanna transition zone at Batchenga in the Centre Region of Cameroon,both,knowledge_awareness_learning; decision_making_planning; uptake_adoption; behavioral_change; institutional_governance; access_information_services; yields_productivity; income_assets; livelihoods; wellbeing; risk_reduction
10.1007/s44274-025-00352-1,"Contribution of homegarden agroforestry to adaptation strategy of climate change in Boloso Sore Woreda, Wolaita zone, South Ethiopia",both,knowledge_awareness_learning; decision_making_planning; uptake_adoption; yields_productivity; income_assets; livelihoods; risk_reduction
10.5595/001c.142195,Coping with Drought in a Changing Climate: An Empirical Analysis of Farmers’ Adaptive Behavior in North-West Balochistan,both,knowledge_awareness_learning; decision_making_planning; uptake_adoption; behavioral_change; livelihoods; risk_reduction
10.1007/s44282-025-00260-y,Grassroots climate resilience and sustainable agriculture in the Ranbir Singh Pura region of Jammu & Kashmir,both,knowledge_awareness_learning; decision_making_planning; uptake_adoption; behavioral_change; institutional_governance; access_information_services; yields_productivity
10.1007/s43621-025-01701-z,"Household coping strategies for flood risk in flood-prone areas of the Itang watershed, Southwestern Ethiopia",both,decision_making_planning; uptake_adoption; behavioral_change; institutional_governance; access_information_services; wellbeing; livelihoods; resilience_adaptive_capacity
10.1007/s43621-025-01871-w,Dairy cattle producers’ perception of climate change and variability and adaptation strategies in the central highlands of Ethiopia,both,knowledge_awareness_learning; decision_making_planning; uptake_adoption; behavioral_change; institutional_governance; access_information_services; yields_productivity; income_assets; livelihoods; wellbeing
10.1186/s12889-025-24719-4,Community’s perceptions on health and ecological impacts of climate change and adaptation strategies in rural areas of the central Ethiopian region,both,knowledge_awareness_learning; decision_making_planning; uptake_adoption; behavioral_change; participation_coproduction; institutional_governance; access_information_services; yields_productivity; income_assets; livelihoods; wellbeing; risk_reduction
10.1016/j.foohum.2025.100861,Coping strategies to food insecurity and adaptation mechanisms to meteorological drought in the drought-prone rural areas of Tigray,neither,not_found
10.1007/s44274-025-00357-w,Community driven climate change adaptation strategies in Ephemeral wetlands of northeastern Bangladesh,process_only,knowledge_awareness_learning; decision_making_planning; uptake_adoption; behavioral_change; institutional_governance; access_information_services
10.1007/s43621-025-01451-y,Intersectional perspectives on gendered adaptation and social hierarchies in agricultural communities of the Indian Himalaya,process_only,knowledge_awareness_learning; decision_making_planning; uptake_adoption; institutional_governance
10.1016/j.sftr.2025.101370,"Livelihood resilience capacity and its determinants of Lowland Smallholder farmers to climate change-induced hazards in Wolaita Zone, Southern Ethiopia",outcome_only,resilience_adaptive_capacity
10.5595/001c.143101,"Climate Change Adaptation Strategies and Determinants of Adoption Amongst Smallholder Farmers in Jemma Sub-basin, Central Ethiopia",process_only,decision_making_planning; uptake_adoption; behavioral_change; institutional_governance; access_information_services
10.1007/s43621-025-00848-z,Vulnerability and adaptation in flood-prone ecosystems of Bangladesh: a case study of rice farming households,both,uptake_adoption; yields_productivity; income_assets; risk_reduction
10.1007/s44274-025-00388-3,"Gender dynamics and climate change among agro-pastoral farmers in Meatu District, Tanzania",process_only,knowledge_awareness_learning; decision_making_planning; uptake_adoption; behavioral_change; participation_coproduction; institutional_governance; access_information_services
10.1007/s43621-025-02104-w,"Climate adaptation and efficiency gaps in maize farming across agro-climatic zones of Khyber Pakhtunkhwa, Pakistan",both,knowledge_awareness_learning; decision_making_planning; uptake_adoption; behavioral_change; institutional_governance; yields_productivity; income_assets
10.1007/s43621-025-02324-0,Factors influencing household adaptive capacity and its association with food security in Somalia,both,knowledge_awareness_learning; decision_making_planning; uptake_adoption; behavioral_change; participation_coproduction; institutional_governance; access_information_services; yields_productivity; income_assets; livelihoods; wellbeing
10.1016/j.sftr.2025.101547,"Examining the effects of government subsidies on farmer's livelihoods for agricultural sustainability in the context of climate change: Evidence from 8,089 farmers in China",neither,not_found
10.1007/s43621-025-01854-x,"The impact of climate change on water conservation for dry season irrigation farming in Ghana’s Sudan agro ecological zone of the Upper East Region: Department of environmental management, university of energy and natural resources, Sunyani- ghana. Email: atubigajohnaloba@gmail.com",both,knowledge_awareness_learning; decision_making_planning; uptake_adoption; yields_productivity; income_assets; risk_reduction
10.1016/j.indic.2025.100977,"Perceptions, adaptations, and innovation barriers among rice farmers facing sea level rise: Insights from Bohol, Philippines",process_only,knowledge_awareness_learning; decision_making_planning; behavioral_change; institutional_governance; access_information_services
10.13057/asianjagric/g090239,"Food security and resilience of smallholder nature-positive farmers in Quezon, Philippines",both,knowledge_awareness_learning; decision_making_planning; uptake_adoption; behavioral_change; participation_coproduction; institutional_governance; access_information_services; yields_productivity; income_assets; livelihoods; wellbeing
10.1007/s43621-025-01935-x,From access to willingness to pay: analyzing drivers and barriers in smallholder farmers’ sequential decision-making on climate information services adoption using the double-selection probit model,process_only,knowledge_awareness_learning; decision_making_planning; uptake_adoption; behavioral_change; access_information_services
10.1007/s43621-025-00870-1,"Assessing the contribution of climate resilient agricultural technologies in advancing sustainable development goals in Telangana, India",both,knowledge_awareness_learning; decision_making_planning; uptake_adoption; yields_productivity; income_assets; wellbeing; risk_reduction; resilience_adaptive_capacity
10.1007/s13593-025-01070-x,To plow or not to plow: Endogenous strategies for preparing mangrove swamp rice fields,process_only,knowledge_awareness_learning; decision_making_planning; uptake_adoption; behavioral_change; participation_coproduction; institutional_governance
10.1007/s44274-025-00381-w,Assessment of indigenous knowledge and technology used for climate adaptation and resilience in coastal area of Bangladesh,process_only,knowledge_awareness_learning; decision_making_planning; uptake_adoption; behavioral_change; institutional_governance
10.1186/s40066-025-00549-w,Climate-smart agricultural practices and food-nutrition security outcomes: insight from rural smallholder farmers,both,knowledge_awareness_learning; decision_making_planning; uptake_adoption; yields_productivity; income_assets
10.1007/s43621-025-01534-w,Climate-smart agricultural practices by smallholder cocoa farmers in the semi-deciduous forest agro-ecological zone of Ghana,both,knowledge_awareness_learning; decision_making_planning; uptake_adoption; behavioral_change; institutional_governance; risk_reduction
10.1057/s41599-024-04261-1,Is coffee transition to cocoa a doubtful adaptation strategy for smallholders in Mesoamerica?,process_only,decision_making_planning; institutional_governance; access_information_services
10.1016/j.wds.2025.100237,Community-led nature-based solutions for enhancing climate change preparedness and resilience in semi-arid environments,neither,not_found
10.1007/s43621-025-01681-0,"Dynamics of seasonal migration among pastoralists in Itang special district, Gambella region, South–West Ethiopia",both,decision_making_planning; behavioral_change; institutional_governance; access_information_services; risk_reduction
10.1038/s41598-025-24343-7,Subnational heterogeneity in climate-smart agriculture green finance and irrigation efficiency across seven African nations,both,knowledge_awareness_learning; decision_making_planning; uptake_adoption; behavioral_change; institutional_governance; access_information_services; yields_productivity; income_assets; livelihoods; wellbeing; risk_reduction
10.1038/s41598-024-78750-3,Psychological capital and farmer families’ quality of life under the climate variability conditions,both,knowledge_awareness_learning; decision_making_planning; behavioral_change; wellbeing
10.1016/j.cliser.2025.100611,"Climate information services and its determinants among smallholder farmers in Sidama Region, southern Ethiopia",process_only,knowledge_awareness_learning; decision_making_planning; uptake_adoption
10.1007/s43621-025-00791-z,Characterizing rural livelihoods in a changing environment: a case study in the High Atlas Mountains of Morocco,process_only,decision_making_planning; uptake_adoption; behavioral_change
10.1038/s41598-025-20504-w,"Exploring farmers’ knowledge, attitudes and control practices on ixodid tick in the context of climate change of South Kivu province, Eastern Democratic Republic of Congo",process_only,knowledge_awareness_learning; decision_making_planning; uptake_adoption
10.1007/s44187-025-00536-x,Gender differentials and distributional effect of climate-smart agriculture practices on farm production and welfare in Nigeria,both,decision_making_planning; uptake_adoption; yields_productivity; income_assets; wellbeing
10.1007/s44187-025-00489-1,"Consumption expenditure effects of adoption against drought tragedy in drought prone area of Eastern Hararghe, Ethiopia",both,uptake_adoption; yields_productivity; income_assets
10.1016/j.sftr.2025.100769,"Infrastructure, knowledge and climate resilience technologies enhancing food security: Evidence from Northern Pakistan",neither,not_found
10.1007/s43621-025-00962-y,Leveraging co-operatives for community development: insights from cashew farmers in Tanzania amid the negative impact of climate change,both,decision_making_planning; institutional_governance; access_information_services; yields_productivity; income_assets; livelihoods; wellbeing; risk_reduction; resilience_adaptive_capacity
10.1016/j.jenvman.2025.128105,"Weather index insurance, agricultural productivity, and multiscale resilience. A comparative analysis of farmers with varying exposure to weather shocks in Kenya",both,decision_making_planning; uptake_adoption; yields_productivity
10.1007/s43621-025-01793-7,Adoption of climate smart agricultural practices impact on food security of smallholder farmers in North Western Ethiopia,both,decision_making_planning; uptake_adoption; yields_productivity; income_assets; livelihoods; wellbeing; risk_reduction
10.1186/s40100-025-00364-8,Promoting livelihood diversification among rural farming households in Kenya: what role does farm forestry farmer field school play?,both,decision_making_planning; uptake_adoption; livelihoods; risk_reduction
10.1016/j.wds.2025.100256,"Adoption of climate-smart agriculture among smallholder cashew farmers in Jaman North, Ghana: Interventions, determinants, and barriers",neither,not_found
10.1007/s43621-025-01782-w,Adaptive responses of Nigerian rice farmers to climate change and field contamination through ecological innovation,both,knowledge_awareness_learning; decision_making_planning; uptake_adoption; behavioral_change; access_information_services; wellbeing; risk_reduction
10.1057/s41599-025-04954-1,Climate-smart technology adoption in hazard-prone areas: does this adoption impact farm families’ food security?,both,knowledge_awareness_learning; decision_making_planning; uptake_adoption; yields_productivity; income_assets; livelihoods; wellbeing
10.1007/s10113-025-02480-z,Heterogeneous impact of adoption intensity of climate-smart agricultural practices on the welfare of livestock farmers in Pakistan,both,decision_making_planning; uptake_adoption; yields_productivity; income_assets; wellbeing
10.1007/s43621-025-02274-7,Determinants of the adoption of irrigation technology by smallholder wheat farmers in Northwestern Ethiopia,both,decision_making_planning; uptake_adoption; yields_productivity
10.1007/s11027-025-10265-2,Intensity of crop and livestock insurance adoption: lessons from Mexico,process_only,decision_making_planning; institutional_governance; access_information_services
10.1007/s43621-025-01613-y,Exploring key drivers affecting ginger farmers risk management strategies and adoption intensity in central and southern Ethiopia,both,knowledge_awareness_learning; decision_making_planning; uptake_adoption; behavioral_change; institutional_governance; access_information_services; risk_reduction
10.1186/s13002-025-00834-9,"Ethno-ecological knowledge of tiger nut (Cyperus esculentus L.) across contrasted climate zones: uses, diversity, production system, and perception of climate change in Togo (West Africa)",both,decision_making_planning; behavioral_change; risk_reduction
10.1038/s41598-025-03853-4,"Leveraging Africa’s underutilized crops to combat climate change, water scarcity, and food insecurity in South Africa",both,knowledge_awareness_learning; uptake_adoption; yields_productivity; income_assets; livelihoods; wellbeing; risk_reduction
10.1371/journal.pone.0337624,Agronomic performance of cocoa production type systems in Colombia,both,knowledge_awareness_learning; decision_making_planning; uptake_adoption; yields_productivity; livelihoods
